name,region,type,homepage,data_url,clicks,link_found
Cheltenham Borough Council,South West,District,http://www.cheltenham.gov.uk,http://www.cheltenham.gov.uk/opendata,1,
Cherwell District Council,South East,District,http://www.cherwell.gov.uk,http://www.cherwell.gov.uk/index.cfm?articleid=5941,,
Cheshire East,North West,Unitary,http://www.cheshireeast.gov.uk,,,
Cheshire West and Chester,North West,Unitary,http://www.cheshirewestandchester.gov.uk,http://www.cheshirewestandchester.gov.uk/opendata,,
Chesterfield Borough Council,East Midlands,District,http://www.chesterfield.gov.uk,,,
Chorley Borough Council,North West,District,http://www.chorley.gov.uk,,,
City of Glasgow,Scotland,Unitary,http://www.glasgow.gov.uk,,,
City of London Corporation,London,London Borough,http://www.cityoflondon.gov.uk,,,
City of Westminster,London,London Borough,http://www.westminster.gov.uk,http://westminster.gov.uk/services/councilgovernmentanddemocracy/councils/open-council/,,
City of York,Yorkshire and The Humber,Unitary,http://www.york.gov.uk,http://www.york.gov.uk/council/information/opendata/,,
Clackmannanshire Council,Scotland,Unitary,http://www.clacks.gov.uk,,,
Coleraine Borough Council,Northern Ireland,District,http://www.colerainebc.gov.uk,,,
Comhairle nan Eilean Siar (Western Isles Council),Scotland,Unitary,http://www.w-isles.gov.uk,,,
Conwy County Borough Council,Wales,Unitary,http://www.conwy.gov.uk,,,
Cookstown District Council,Northern Ireland,District,http://www.cookstown.gov.uk,,,
Copeland Borough Council,North West,District,http://www.copelandbc.gov.uk,,,
Corby Borough Council,East Midlands,District,http://www.corby.gov.uk,,,
Cotswold District Council,South West,District,http://www.cotswold.gov.uk,,,
Coventry City Council,West Midlands,Metropolitan Borough,http://www.coventry.gov.uk,http://www.coventry.gov.uk/info/200116/websites/650/open_data,,
Craigavon Borough Council,Northern Ireland,District,http://www.craigavon.gov.uk,,,
Cumbria County Council,North West,County,http://www.cumbria.gov.uk,,,
Dacorum Borough Council,East of England,District,http://www.dacorum.gov.uk,,,
Dartford Borough Council,South East,District,http://www.dartford.gov.uk,,,
Daventry District Council,East Midlands,District,http://www.daventrydc.gov.uk,,,
Denbighshire Council,Wales,Unitary,http://www.denbighshire.gov.uk,,,
Derby City Council,East Midlands,Unitary,http://www.derby.gov.uk,http://www.derby.gov.uk/CouncilGovernmentDemocracy/DataProtectionFreedomInformation/FreedomOfInformation/opendata.htm,,
Derry (City of Londonderry),Northern Ireland,District,http://www.derrycity.gov.uk,,,
Doncaster Metropolitan Borough Council,Yorkshire and The Humber,Metropolitan Borough,http://www.doncaster.gov.uk,,,
Down District Council,Northern Ireland,District,http://www.downdc.gov.uk,,,
Dumfries and Galloway Council,Scotland,Unitary,http://www.dumgal.gov.uk,,,
Dundee City Council,Scotland,Unitary,http://www.dundeecity.gov.uk,,,
Dungannon District Council,Northern Ireland,District,http://www.dungannon.gov.uk,,,
Durham County Council,North East,Unitary,http://www.durham.gov.uk,,,
East Ayrshire Council,Scotland,Unitary,http://www.east-ayrshire.gov.uk,,,
Eastbourne Council,South East,District,http://www.eastbourne.gov.uk,,,
East Cambridgeshire,East of England,District,http://www.eastcambs.gov.uk,,,
East Dunbartonshire Council,Scotland,Unitary,http://www.eastdunbarton.gov.uk,,,
East Hampshire District Council,South East,District,http://www.easthants.gov.uk,,,
East Hertfordshire,East of England,District,http://www.eastherts.gov.uk,,,
East Lindsey District Council,East Midlands,District,http://www.e-lindsey.gov.uk,,,
East Lothian Council,Scotland,Unitary,http://www.eastlothian.gov.uk,,,
East Northamptonshire Council,East Midlands,District,http://www.east-northamptonshire.gov.uk,http://www.east-northamptonshire.gov.uk/opendata,,
East Riding of Yorkshire Council,Yorkshire and The Humber,Unitary,http://www.eastriding.gov.uk,,,
East Sussex County Council,South East,County,http://www.eastsussex.gov.uk,http://eastsussex.gov.uk/about/standards/opendata.htm,,
Eden District Council,North West,District,http://www.eden.gov.uk,http://www.eden.gov.uk/opendata,,
Elmbridge Borough Council,South East,District,http://www.elmbridge.gov.uk,http://www.elmbridge.gov.uk/Council/opendata.htm,,
Epping Forest District Council,East of England,District,http://www.eppingforestdc.gov.uk,,,
Epsom & Ewell Borough Council,South East,District,http://www.epsom-ewell.gov.uk,http://www.epsom-ewell.gov.uk/EEBC/Council/Data+Protection+and+Freedom+of+Information/Open+data.htm,,
Erewash Borough,East Midlands,District,http://www.erewash.gov.uk,http://www.erewash.gov.uk/about_the_council/opendata/,,
Essex County Council,East of England,County,http://www.essexcc.gov.uk,,,
